'大学ｺｰﾄﾞ,'学部ｺｰﾄﾞ,'学科ｺｰﾄﾞ,'日程ｺｰﾄﾞ,'方式ｺｰﾄﾞ,'小分類CD,'大学名,'学部名,'学科名,'日程,'入試方式,'小分類名,'募集単位,'県CD
'3811,'64,'02,'0,'0,'655,'広島都市学園大,'健康科学,'リハ／理学療,'　,'　　　,'理学療法　,'1,'34
'3811,'64,'03,'0,'0,'656,'広島都市学園大,'健康科学,'リハ／作業療,'　,'　　　,'作業療法　,'1,'34
'3816,'38,'00,'0,'0,'105,'東亜大　　　　,'人間科学,'　　　　　　,'　,'　　　,'心理学　　,'0,'35
'3816,'38,'02,'0,'0,'652,'東亜大　　　　,'人間科学,'スポーツ健康,'　,'　　　,'医療技術　,'1,'35
'3816,'38,'03,'0,'0,'105,'東亜大　　　　,'人間科学,'心理臨床・子,'　,'　　　,'心理学　　,'1,'35
'3816,'38,'04,'0,'0,'106,'東亜大　　　　,'人間科学,'国際教養　　,'　,'　　　,'文化学　　,'1,'35
'3816,'64,'00,'0,'0,'402,'東亜大　　　　,'医療　　,'　　　　　　,'　,'　　　,'食物・栄養,'0,'35
'3816,'64,'01,'0,'0,'652,'東亜大　　　　,'医療　　,'医療工　　　,'　,'　　　,'医療技術　,'1,'35
'3816,'64,'02,'0,'0,'402,'東亜大　　　　,'医療　　,'健康栄養　　,'　,'　　　,'食物・栄養,'1,'35
'3816,'83,'00,'0,'0,'451,'東亜大　　　　,'芸術　　,'　　　　　　,'　,'　　　,'美術・デザ,'0,'35
'3816,'83,'01,'0,'0,'451,'東亜大　　　　,'芸術　　,'アート・デザ,'　,'　　　,'美術・デザ,'1,'35
'3816,'83,'02,'0,'0,'458,'東亜大　　　　,'芸術　　,'トータルビュ,'　,'　　　,'その他芸術,'1,'35
'3818,'33,'00,'0,'0,'151,'梅光学院大　　,'国際　　,'　　　　　　,'　,'　　　,'英米語　　,'0,'35
'3818,'33,'01,'0,'0,'151,'梅光学院大　　,'国際　　,'国際／英語コ,'　,'　　　,'英米語　　,'1,'35
'3818,'33,'02,'0,'0,'151,'梅光学院大　　,'国際　　,'国際／国際ビ,'　,'　　　,'英米語　　,'1,'35
'3818,'33,'03,'0,'0,'152,'梅光学院大　　,'国際　　,'国際／東アジ,'　,'　　　,'中国語　　,'1,'35
'3818,'33,'04,'0,'0,'151,'梅光学院大　　,'国際　　,'国際／国際教,'　,'　　　,'英米語　　,'1,'35
'3818,'33,'05,'0,'0,'151,'梅光学院大　　,'国際　　,'国際／国際観,'　,'　　　,'英米語　　,'1,'35
'3818,'79,'00,'0,'0,'105,'梅光学院大　　,'子ども　,'　　　　　　,'　,'　　　,'心理学　　,'0,'35
'3818,'79,'02,'0,'0,'105,'梅光学院大　　,'子ども　,'子ど／児童教,'　,'　　　,'心理学　　,'1,'35
'3818,'79,'03,'0,'0,'312,'梅光学院大　　,'子ども　,'子ど／幼児保,'　,'　　　,'幼稚園　　,'1,'35
'3820,'27,'00,'0,'0,'223,'至誠館大　　　,'現代社会,'　　　　　　,'　,'　　　,'経営情報学,'0,'35
'3820,'27,'01,'0,'0,'223,'至誠館大　　　,'現代社会,'現代社会　　,'　,'　　　,'経営情報学,'1,'35
'3821,'03,'00,'0,'0,'105,'フロンティア大,'心理　　,'　　　　　　,'　,'　　　,'心理学　　,'0,'35
'3821,'03,'01,'0,'0,'105,'フロンティア大,'心理　　,'心理　　　　,'　,'　　　,'心理学　　,'1,'35
'3821,'64,'00,'0,'0,'651,'フロンティア大,'看護　　,'　　　　　　,'　,'　　　,'看護　　　,'0,'35
'3821,'64,'01,'0,'0,'651,'フロンティア大,'看護　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'35
'3822,'30,'00,'0,'0,'301,'山口学芸大　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'35
'3822,'30,'01,'0,'0,'301,'山口学芸大　　,'教育　　,'教育　　　　,'　,'　　　,'小学校　　,'1,'35
'3831,'01,'00,'0,'0,'106,'四国大　　　　,'文　　　,'　　　　　　,'　,'　　　,'文化学　　,'0,'36
'3831,'01,'01,'0,'0,'106,'四国大　　　　,'文　　　,'国際文化　　,'　,'　　　,'文化学　　,'1,'36
'3831,'01,'04,'0,'0,'101,'四国大　　　　,'文　　　,'日本文　　　,'　,'　　　,'日本文学　,'1,'36
'3831,'01,'05,'0,'0,'454,'四国大　　　　,'文　　　,'書道文化　　,'　,'　　　,'書道　　　,'1,'36
'3831,'21,'00,'0,'0,'202,'四国大　　　　,'経営情報,'　　　　　　,'　,'　　　,'政治学　　,'0,'36
'3831,'21,'01,'0,'0,'202,'四国大　　　　,'経営情報,'経営情報　　,'　,'　　　,'政治学　　,'1,'36
'3831,'37,'00,'0,'0,'455,'四国大　　　　,'デジタル,'　　　　　　,'　,'　　　,'映像　　　,'0,'36
'3831,'37,'01,'0,'0,'455,'四国大　　　　,'デジタル,'デジタル創生,'　,'　　　,'映像　　　,'1,'36
'3831,'64,'00,'0,'0,'651,'四国大　　　　,'看護　　,'　　　　　　,'　,'　　　,'看護　　　,'0,'36
'3831,'64,'01,'0,'0,'651,'四国大　　　　,'看護　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'36
'3831,'79,'00,'0,'0,'105,'四国大　　　　,'生活科学,'　　　　　　,'　,'　　　,'心理学　　,'0,'36
'3831,'79,'03,'0,'0,'402,'四国大　　　　,'生活科学,'健康栄養　　,'　,'　　　,'食物・栄養,'1,'36
'3831,'79,'04,'0,'0,'301,'四国大　　　　,'生活科学,'児童　　　　,'　,'　　　,'小学校　　,'1,'36
'3831,'79,'05,'0,'0,'105,'四国大　　　　,'生活科学,'人間生活科学,'　,'　　　,'心理学　　,'1,'36
'3832,'01,'00,'0,'0,'101,'徳島文理大　　,'文　　　,'　　　　　　,'　,'　　　,'日本文学　,'0,'36
'3832,'01,'01,'0,'0,'151,'徳島文理大　　,'文　　　,'英語英米文化,'　,'　　　,'英米語　　,'1,'36
'3832,'01,'03,'0,'0,'101,'徳島文理大　　,'文　　　,'日本文　　　,'　,'　　　,'日本文学　,'1,'36
'3832,'01,'04,'0,'0,'111,'徳島文理大　　,'文　　　,'文化財　　　,'　,'　　　,'考古学・文,'1,'36
'3832,'13,'00,'0,'0,'222,'徳島文理大　　,'総合政策,'　　　　　　,'　,'　　　,'経営学・商,'0,'36
'3832,'13,'01,'0,'0,'202,'徳島文理大　　,'総合政策,'総合政策　　,'　,'　　　,'政治学　　,'1,'36
'3832,'13,'02,'0,'0,'222,'徳島文理大　　,'総合政策,'経営　　　　,'　,'　　　,'経営学・商,'1,'36
'3832,'47,'00,'0,'0,'551,'徳島文理大　　,'理工　　,'　　　　　　,'　,'　　　,'機械工学　,'0,'36
'3832,'47,'01,'0,'0,'551,'徳島文理大　　,'理工　　,'ロボット創造,'　,'　　　,'機械工学　,'1,'36
'3832,'47,'02,'0,'0,'552,'徳島文理大　　,'理工　　,'電子情報工　,'　,'　　　,'電気・電子,'1,'36
'3832,'47,'03,'0,'0,'558,'徳島文理大　　,'理工　　,'ナノ物質工　,'　,'　　　,'金属・材料,'1,'36
'3832,'61,'00,'0,'0,'621,'徳島文理大　　,'薬　　　,'　　　　　　,'　,'　　　,'薬　　　　,'0,'36
'3832,'61,'02,'0,'0,'621,'徳島文理大　　,'薬　　　,'薬　　　　　,'　,'　　　,'薬　　　　,'1,'36
